Rank,Song,Artist,Year
18,Sir Duke,Stevie Wonder,1977
19,Hotel California,Eagles,1977
20,Got to Give It Up,Marvin Gaye,1977
21,Gonna Fly Now,Bill Conti,1977
22,Southern Nights,Glen Campbell,1977
23,Rich Girl,Hall & Oates,1977
24,When I Need You,Leo Sayer,1977
25,Hot Line,The Sylvers,1977
26,Car Wash,Rose Royce,1977
27,You Don't Have to Be a Star (To Be in My Show),Marilyn McCoo & Billy Davis Jr.,1977
28,Fly Like an Eagle,Steve Miller Band,1977
29,Don't Give Up on Us,David Soul,1977
30,On and On,Stephen Bishop,1977
31,Feels Like the First Time,Foreigner,1977
32,Couldn't Get It Right,Climax Blues Band,1977
33,Easy,Commodores,1977
34,Right Time of the Night,Jennifer Warnes,1977
35,I've Got Love on My Mind,Natalie Cole,1977
36,Blinded by the Light,Manfred Mann's Earth Band,1977
37,Looks Like We Made It,Barry Manilow,1977
38,So in to You,Atlanta Rhythm Section,1977
39,Dreams,Fleetwood Mac,1977
40,Enjoy Yourself,The Jacksons,1977
41,Dazz,Brick,1977
42,I'm in You,Peter Frampton,1977
43,Lucille,Kenny Rogers,1977
44,The Things We Do for Love,10cc,1977
45,Da Doo Ron Ron,Shaun Cassidy,1977
46,Handy Man,James Taylor,1977
47,Just a Song Before I Go,"Crosby, Stills & Nash",1977
48,You and Me,Alice Cooper,1977
49,Swayin' to the Music (Slow Dancing),Johnny Rivers,1977
50,Lonely Boy,Andrew Gold,1977
51,I Wish,Stevie Wonder,1977
52,Don't Stop,Fleetwood Mac,1977
53,Barracuda,Heart,1977
54,Strawberry Letter 23,The Brothers Johnson,1977
55,Night Moves,Bob Seger & The Silver Bullet Band,1977
56,You're My World,Helen Reddy,1977
57,Heard It in a Love Song,The Marshall Tucker Band,1977
58,Carry On Wayward Son,Kansas,1977
59,New Kid in Town,Eagles,1977
60,My Heart Belongs to Me,Barbra Streisand,1977
61,After the Lovin',Engelbert Humperdinck,1977
62,Jet Airliner,Steve Miller Band,1977
63,Stand Tall,Burton Cummings,1977
64,Way Down,Elvis Presley,1977
65,Weekend in New England,Barry Manilow,1977
66,It Was Almost Like a Song,Ronnie Milsap,1977
67,Smoke from a Distant Fire,Sanford-Townsend Band,1977
68,Cold as Ice,Foreigner,1977
69,Ariel,Dean Friedman,1977
70,Lost Without Your Love,Bread,1977
71,Star Wars Theme/Cantina Band,Meco,1977
72,Float On,The Floaters,1977
73,Jeans On,Lord David Dundas,1977
74,Lido Shuffle,Boz Scaggs,1977
75,Keep It Comin' Love,KC and the Sunshine Band,1977
76,You Made Me Believe in Magic,Bay City Rollers,1977
77,Livin' Thing,Electric Light Orchestra,1977
78,Give a Little Bit,Supertramp,1977
79,That's Rock 'n' Roll,Shaun Cassidy,1977
80,Love So Right,Bee Gees,1977
81,The Rubberband Man,The Spinners,1977
82,I Never Cry,Alice Cooper,1977
83,Nobody Does It Better,Carly Simon,1977
84,High School Dance,The Sylvers,1977
85,Love's Grown Deep,Kenny Nolan,1977
86,Ain't Gonna Bump No More (With No Big Fat Woman),Joe Tex,1977
87,I Wanna Get Next to You,Rose Royce,1977
88,Somebody to Love,Queen,1977
89,Muskrat Love,Captain & Tennille,1977
90,Walk This Way,Aerosmith,1977
91,Cherchez La Femme,Dr. Buzzard's Original Savannah Band,1977
92,Year of the Cat,Al Stewart,1977
93,Boogie Nights,Heatwave,1977
94,Go Your Own Way,Fleetwood Mac,1977
95,Sorry Seems to Be the Hardest Word,Elton John,1977
96,Don't Worry Baby,B.J. Thomas,1977
97,"Knowing Me, Knowing You",ABBA,1977
98,How Much Love,Leo Sayer,1977
99,Star Wars (Main Title),London Symphony Orchestra,1977
100,Devil's Gun,C.J. & Company,1977
1,Shadow Dancing,Andy Gibb,1978
2,Night Fever,Bee Gees,1978
3,You Light Up My Life,Debby Boone,1978
4,Stayin' Alive,Bee Gees,1978
5,Kiss You All Over,Exile,1978
6,How Deep Is Your Love,Bee Gees,1978
7,Baby Come Back,Player,1978
8,(Love Is) Thicker Than Water,Andy Gibb,1978
9,Boogie Oogie Oogie,A Taste of Honey,1978
10,Three Times a Lady,Commodores,1978
11,Grease,Frankie Valli,1978
12,I Go Crazy,Paul Davis,1978
13,You're the One That I Want,John Travolta & Olivia Newton-John,1978
14,Emotion,Samantha Sang,1978
15,Lay Down Sally,Eric Clapton,1978
16,Miss You,The Rolling Stones,1978
17,Just the Way You Are,Billy Joel,1978
18,With a Little Luck,Wings,1978
19,If I Can't Have You,Yvonne Elliman,1978
20,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,1978
21,Feels So Good,Chuck Mangione,1978
22,Hot Child in the City,Nick Gilder,1978
23,Love Is Like Oxygen,Sweet,1978
24,It's a Heartache,Bonnie Tyler,1978
25,We Will Rock You/We Are the Champions,Queen,1978
26,Baker Street,Gerry Rafferty,1978
27,Can't Smile Without You,Barry Manilow,1978
28,"Too Much, Too Little, Too Late",Johnny Mathis & Deniece Williams,1978
29,Dance With Me,Peter Brown,1978
30,Two Out of Three Ain't Bad,Meat Loaf,1978
31,Jack And Jill,Raydio,1978
32,Take a Chance on Me,ABBA,1978
33,Sometimes When We Touch,Dan Hill,1978
34,Last Dance,Donna Summer,1978
35,Hopelessly Devoted to You,Olivia Newton-John,1978
36,Hot Blooded,Foreigner,1978
37,You're in My Heart (The Final Acclaim),Rod Stewart,1978
38,The Closer I Get to You,Roberta Flack & Donny Hathaway,1978
39,Dust in the Wind,Kansas,1978
40,Magnet and Steel,Walter Egan,1978
41,Short People,Randy Newman,1978
42,Use ta Be My Girl,The O'Jays,1978
43,Our Love,Natalie Cole,1978
44,Love Will Find a Way,Pablo Cruise,1978
45,An Everlasting Love,Andy Gibb,1978
46,Love Is in the Air,John Paul Young,1978
47,Goodbye Girl,David Gates,1978
48,Slip Slidin' Away,Paul Simon,1978
49,The Groove Line,Heatwave,1978
50,Thunder Island,Jay Ferguson,1978
51,Imaginary Lover,Atlanta Rhythm Section,1978
52,Still the Same,Bob Seger & The Silver Bullet Band,1978
53,My Angel Baby,Toby Beau,1978
54,Disco Inferno,The Trammps,1978
55,On Broadway,George Benson,1978
56,Come Sail Away,Styx,1978
57,(Every Time I Turn Around) Back in Love Again,L.T.D.,1978
58,This Time I'm in It for Love,Player,1978
59,You Belong to Me,Carly Simon,1978
60,Here You Come Again,Dolly Parton,1978
61,Blue Bayou,Linda Ronstadt,1978
62,Peg,Steely Dan,1978
63,You Needed Me,Anne Murray,1978
64,Shame,"Evelyn ""Champagne"" King",1978
65,Reminiscing,Little River Band,1978
66,Count On Me,Jefferson Starship,1978
67,Baby Hold On,Eddie Money,1978
68,Hey Deanie,Shaun Cassidy,1978
69,Summer Nights,John Travolta & Olivia Newton-John,1978
70,What's Your Name,Lynyrd Skynyrd,1978
71,Don't It Make My Brown Eyes Blue,Crystal Gayle,1978
72,Because the Night,Patti Smith Group,1978
73,Every Kinda People,Robert Palmer,1978
74,Copacabana,Barry Manilow,1978
75,Always and Forever,Heatwave,1978
76,You and I,Rick James,1978
77,Serpentine Fire,"Earth, Wind & Fire",1978
78,Sentimental Lady,Bob Welch,1978
79,Falling,LeBlanc & Carr,1978
80,Don't Let Me Be Misunderstood,Santa Esmeralda,1978
81,Bluer Than Blue,Michael Johnson,1978
82,Running on Empty,Jackson Browne,1978
83,Whenever I Call You 'Friend',Kenny Loggins & Stevie Nicks,1978
84,Fool (If You Think It's Over),Chris Rea,1978
85,Get Off,Foxy,1978
86,Sweet Talkin' Woman,Electric Light Orchestra,1978
87,Life's Been Good,Joe Walsh,1978
88,I Love the Nightlife,Alicia Bridges,1978
89,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,1978
90,It's So Easy,Linda Ronstadt,1978
91,Native New Yorker,Odyssey,1978
92,Flash Light,Parliament,1978
93,Don't Look Back,Boston,1978
94,Turn to Stone,Electric Light Orchestra,1978
95,I Can't Stand the Rain,Eruption,1978
96,Ebony Eyes,Bob Welch,1978
97,The Name of the Game,ABBA,1978
98,We're All Alone,Rita Coolidge,1978
99,Hollywood Nights,Bob Seger & The Silver Bullet Band,1978
100,Deacon Blues,Steely Dan,1978
1,My Sharona,The Knack,1979
2,Bad Girls,Donna Summer,1979
3,Le Freak,Chic,1979
4,Da Ya Think I'm Sexy?,Rod Stewart,1979
5,Reunited,Peaches & Herb,1979
6,I Will Survive,Gloria Gaynor,1979
7,Hot Stuff,Donna Summer,1979
8,Y.M.C.A.,Village People,1979
9,Ring My Bell,Anita Ward,1979
10,Sad Eyes,Robert John,1979
11,Too Much Heaven,Bee Gees,1979
12,MacArthur Park,Donna Summer,1979
13,When You're in Love with a Beautiful Woman,Dr. Hook,1979
14,Makin' It,David Naughton,1979
15,Fire,The Pointer Sisters,1979
16,Tragedy,Bee Gees,1979
17,A Little More Love,Olivia Newton-John,1979
18,Heart of Glass,Blondie,1979
19,What a Fool Believes,The Doobie Brothers,1979
20,Good Times,Chic,1979
21,You Don't Bring Me Flowers,Neil Diamond & Barbra Streisand,1979
22,Knock on Wood,Amii Stewart,1979
23,Stumblin' In,Suzi Quatro & Chris Norman,1979
24,Lead Me On,Maxine Nightingale,1979
25,Shake Your Body (Down to the Ground),The Jacksons,1979
26,Don't Cry Out Loud,Melissa Manchester,1979
27,The Logical Song,Supertramp,1979
28,My Life,Billy Joel,1979
29,Just When I Needed You Most,Randy VanWarmer,1979
30,You Can't Change That,Raydio,1979
31,Shake Your Groove Thing,Peaches & Herb,1979
32,I'll Never Love This Way Again,Dionne Warwick,1979
33,Love You Inside Out,Bee Gees,1979
34,I Want You to Want Me,Cheap Trick,1979
35,The Main Event/Fight,Barbra Streisand,1979
36,Mama Can't Buy You Love,Elton John,1979
37,I Was Made for Dancin',Leif Garrett,1979
38,After the Love Has Gone,"Earth, Wind & Fire",1979
39,Heaven Knows,Donna Summer and Brooklyn Dreams,1979
40,The Gambler,Kenny Rogers,1979
41,Lotta Love,Nicolette Larson,1979
42,Lady,Little River Band,1979
43,Heaven Must Have Sent You,Bonnie Pointer,1979
44,Hold the Line,Toto,1979
45,He's the Greatest Dancer,Sister Sledge,1979
46,Sharing the Night Together,Dr. Hook,1979
47,She Believes in Me,Kenny Rogers,1979
48,In the Navy,Village People,1979
49,Music Box Dancer,Frank Mills,1979
50,The Devil Went Down to Georgia,The Charlie Daniels Band,1979
51,Gold,John Stewart,1979
52,Goodnight Tonight,Wings,1979
53,We Are Family,Sister Sledge,1979
54,Rock 'n' Roll Fantasy,Bad Company,1979
55,Every 1's a Winner,Hot Chocolate,1979
56,Take Me Home,Cher,1979
57,Boogie Wonderland,"Earth, Wind & Fire & The Emotions",1979
58,(Our Love) Don't Throw It All Away,Andy Gibb,1979
59,What You Won't Do for Love,Bobby Caldwell,1979
60,New York Groove,Ace Frehley,1979
61,Sultans of Swing,Dire Straits,1979
62,I Want Your Love,Chic,1979
63,Chuck E.'s In Love,Rickie Lee Jones,1979
64,I Love the Nightlife,Alicia Bridges,1979
65,Ain't No Stoppin' Us Now,McFadden & Whitehead,1979
66,Lonesome Loser,Little River Band,1979
67,Renegade,Styx,1979
68,Love Is the Answer,England Dan & John Ford Coley,1979
69,Got to Be Real,Cheryl Lynn,1979
70,Born to Be Alive,Patrick Hernandez,1979
71,Shine a Little Love,Electric Light Orchestra,1979
72,I Just Fall in Love Again,Anne Murray,1979
73,Shake It,Ian Matthews,1979
74,I Was Made for Lovin' You,Kiss,1979
75,I Just Wanna Stop,Gino Vannelli,1979
76,Disco Nights (Rock-Freak),GQ,1979
77,Ooo Baby Baby,Linda Ronstadt,1979
78,September,"Earth, Wind & Fire",1979
79,Time Passages,Al Stewart,1979
80,Rise,Herb Alpert,1979
81,Don't Bring Me Down,Electric Light Orchestra,1979
82,Promises,Eric Clapton,1979
83,Get Used to It,Roger Voudouris,1979
84,How Much I Feel,Ambrosia,1979
85,Suspicions,Eddie Rabbitt,1979
86,You Take My Breath Away,Rex Smith,1979
87,How You Gonna See Me Now,Alice Cooper,1979
88,Double Vision,Foreigner,1979
89,Everytime I Think of You,The Babys,1979
90,I Got My Mind Made Up (You Can Get It Girl),Instant Funk,1979
91,Don't Stop 'til You Get Enough,Michael Jackson,1979
92,"Bad Case of Loving You (Doctor, Doctor)",Robert Palmer,1979
93,Somewhere in the Night,Barry Manilow,1979
94,We've Got Tonight,Bob Seger & The Silver Bullet Band,1979
95,Dance the Night Away,Van Halen,1979
96,Dancin' Shoes,Nigel Olsson,1979
97,The Boss,Diana Ross,1979
98,Sail On,Commodores,1979
99,I Do Love You,GQ,1979
100,Strange Way,Firefall,1979
1,Call Me,Blondie,1980
2,"Another Brick in the Wall, Part II",Pink Floyd,1980
3,Magic,Olivia Newton-John,1980
4,Rock with You,Michael Jackson,1980
5,Do That to Me One More Time,Captain & Tennille,1980
6,Crazy Little Thing Called Love,Queen,1980
7,Coming Up,Paul McCartney,1980
8,Funkytown,Lipps Inc,1980
9,It's Still Rock and Roll to Me,Billy Joel,1980
10,The Rose,Bette Midler,1980
11,Escape (The Piña Colada Song),Rupert Holmes,1980
12,Cars,Gary Numan,1980
13,Cruisin,Smokey Robinson,1980
14,"Working My Way Back to You/Forgive Me, Girl",The Spinners,1980
15,Lost in Love,Air Supply,1980
16,Little Jeannie,Elton John,1980
17,Ride Like the Wind,Christopher Cross,1980
18,Upside Down,Diana Ross,1980
19,Please Don't Go,KC and the Sunshine Band,1980
20,Babe,Styx,1980
21,With You I'm Born Again,Billy Preston and Syreeta,1980
22,Shining Star,The Manhattans,1980
23,Still,Commodores,1980
24,"Yes, I'm Ready",Teri DeSario & KC,1980
25,Sexy Eyes,Dr. Hook,1980
26,Steal Away,Robbie Dupree,1980
27,Biggest Part of Me,Ambrosia,1980
28,This Is It,Kenny Loggins,1980
29,Cupid/I've Loved You for a Long Time,The Spinners,1980
30,Let's Get Serious,Jermaine Jackson,1980
31,Don't Fall in Love with a Dreamer,Kenny Rogers & Kim Carnes,1980
32,Sailing,Christopher Cross,1980
33,Longer,Dan Fogelberg,1980
34,Coward of the County,Kenny Rogers,1980
35,Ladies' Night,Kool & the Gang,1980
36,Too Hot,Kool & the Gang,1980
37,Take Your Time (Do It Right),The S.O.S. Band,1980
38,No More Tears (Enough Is Enough),Barbra Streisand & Donna Summer,1980
39,More Love,Kim Carnes,1980
40,Pop Muzik,M,1980
41,Brass in Pocket,The Pretenders,1980
42,Special Lady,"Ray, Goodman & Brown",1980
43,Send One Your Love,Stevie Wonder,1980
44,The Second Time Around,Shalamar,1980
45,We Don't Talk Anymore,Cliff Richard,1980
46,Stomp!,The Brothers Johnson,1980
47,Heartache Tonight,Eagles,1980
48,Tired of Toein' the Line,Rocky Burnette,1980
49,Better Love Next Time,Dr. Hook,1980
50,Him,Rupert Holmes,1980
51,Against the Wind,Bob Seger and the Silver Bullet Band,1980
52,On the Radio,Donna Summer,1980
53,Emotional Rescue,The Rolling Stones,1980
54,Rise,Herb Alpert,1980
55,All Out of Love,Air Supply,1980
56,Cool Change,Little River Band,1980
57,You're Only Lonely,J.D. Souther,1980
58,Desire,Andy Gibb,1980
59,Let My Love Open the Door,Pete Townshend,1980
60,Romeo's Tune,Steve Forbert,1980
61,Daydream Believer,Anne Murray,1980
62,I Can't Tell You Why,Eagles,1980
63,Don't Let Go,Isaac Hayes,1980
64,Don't Do Me Like That,Tom Petty and the Heartbreakers,1980
65,She's Out of My Life,Michael Jackson,1980
66,Fame,Irene Cara,1980
67,Fire Lake,Bob Seger and the Silver Bullet Band,1980
68,How Do I Make You,Linda Ronstadt,1980
69,Into the Night,Benny Mardones,1980
70,Let Me Love You Tonight,Pure Prairie League,1980
71,Misunderstanding,Genesis,1980
72,An American Dream,The Dirt Band,1980
73,One Fine Day,Carole King,1980
74,Dim All the Lights,Donna Summer,1980
75,You May Be Right,Billy Joel,1980
76,Should've Never Let You Go,Neil & Dara Sedaka,1980
77,Pilot of the Airwaves,Charlie Dore,1980
78,Hurt So Bad,Linda Ronstadt,1980
79,Off the Wall,Michael Jackson,1980
80,I Pledge My Love,Peaches & Herb,1980
81,The Long Run,Eagles,1980
82,Stand by Me,Mickey Gilley,1980
83,Heartbreaker,Pat Benatar,1980
84,Déjà Vu,Dionne Warwick,1980
85,Drivin' My Life Away,Eddie Rabbitt,1980
86,Take the Long Way Home,Supertramp,1980
87,Sara,Fleetwood Mac,1980
88,Wait for Me,Hall & Oates,1980
89,Jojo,Boz Scaggs,1980
90,September Morn,Neil Diamond,1980
91,Give Me the Night,George Benson,1980
92,Broken Hearted Me,Anne Murray,1980
93,You Decorated My Life,Kenny Rogers,1980
94,Tusk,Fleetwood Mac,1980
95,I Wanna Be Your Lover,Prince,1980
96,In America,Charlie Daniels Band,1980
97,Breakdown Dead Ahead,Boz Scaggs,1980
98,Ships,Barry Manilow,1980
99,All Night Long,Joe Walsh,1980
100,Refugee,Tom Petty and the Heartbreakers,1980
1,Bette Davis Eyes,Kim Carnes,1981
2,Endless Love,Diana Ross & Lionel Richie,1981
3,Lady,Kenny Rogers,1981
4,(Just Like) Starting Over,John Lennon,1981
5,Jessie's Girl,Rick Springfield,1981
6,Celebration,Kool & the Gang,1981
7,Kiss on My List,Hall & Oates,1981
8,I Love a Rainy Night,Eddie Rabbitt,1981
9,9 To 5,Dolly Parton,1981
10,Keep on Loving You,REO Speedwagon,1981
11,Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,1981
12,Morning Train (Nine to Five),Sheena Easton,1981
13,Being with You,Smokey Robinson,1981
14,Queen of Hearts,Juice Newton,1981
15,Rapture,Blondie,1981
16,A Woman Needs Love (Just Like You Do),Raydio,1981
17,The Tide Is High,Blondie,1981
18,Just the Two of Us,"Grover Washington, Jr. & Bill Withers",1981
19,Slow Hand,The Pointer Sisters,1981
20,I Love You,Climax Blues Band,1981
21,Woman,John Lennon,1981
22,Sukiyaki,A Taste of Honey,1981
23,The Winner Takes It All,ABBA,1981
24,Stars on 45 Medley,Stars on 45,1981
25,Angel of the Morning,Juice Newton,1981
26,Love on the Rocks,Neil Diamond,1981
27,Every Woman in the World,Air Supply,1981
28,The One That You Love,Air Supply,1981
29,Guilty,Barbra Streisand & Barry Gibb,1981
30,The Best of Times,Styx,1981
31,Elvira,The Oak Ridge Boys,1981
32,Take It on the Run,REO Speedwagon,1981
33,(There's) No Gettin' Over Me,Ronnie Milsap,1981
34,Living Inside Myself,Gino Vannelli,1981
35,Woman in Love,Barbra Streisand,1981
36,The Boy from New York City,The Manhattan Transfer,1981
37,Urgent,Foreigner,1981
38,Passion,Rod Stewart,1981
39,Lady (You Bring Me Up),Commodores,1981
40,Crying,Don McLean,1981
41,Hearts,Marty Balin,1981
42,It's My Turn,Diana Ross,1981
43,You Make My Dreams,Hall & Oates,1981
44,I Don't Need You,Kenny Rogers,1981
45,How 'Bout Us,Champaign,1981
46,Hit Me with Your Best Shot,Pat Benatar,1981
47,The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,1981
48,Time,The Alan Parsons Project,1981
49,Hungry Heart,Bruce Springsteen,1981
50,Sweetheart,Franke and the Knockouts,1981
51,Somebody's Knockin',Terri Gibbs,1981
52,More Than I Can Say,Leo Sayer,1981
53,Together,Tierra,1981
54,Too Much Time on My Hands,Styx,1981
55,What Are We Doin' in Love,Dottie West & Kenny Rogers,1981
56,Who's Crying Now,Journey,1981
57,"De Do Do Do, De Da Da Da",The Police,1981
58,This Little Girl,Gary U.S. Bonds,1981
59,Stop Draggin' My Heart Around,Stevie Nicks & Tom Petty,1981
60,Giving It Up for Your Love,Delbert McClinton,1981
61,A Little in Love,Cliff Richard,1981
62,America,Neil Diamond,1981
63,Ain't Even Done with the Night,John Cougar,1981
64,Arthur's Theme (Best That You Can Do),Christopher Cross,1981
65,Another One Bites the Dust,Queen,1981
66,Games People Play,The Alan Parsons Project,1981
67,I Can't Stand It,Eric Clapton,1981
68,While You See a Chance,Steve Winwood,1981
69,Master Blaster (Jammin'),Stevie Wonder,1981
70,Hello Again,Neil Diamond,1981
71,Don't Stand So Close to Me,The Police,1981
72,Hey Nineteen,Steely Dan,1981
73,I Ain't Gonna Stand for It,Stevie Wonder,1981
74,All Those Years Ago,George Harrison,1981
75,Step By Step,Eddie Rabbitt,1981
76,The Stroke,Billy Squier,1981
77,Feels So Right,Alabama,1981
78,Sweet Baby,Stanley Clarke & George Duke,1981
79,Same Old Lang Syne,Dan Fogelberg,1981
80,Cool Love,Pablo Cruise,1981
81,Hold On Tight,Electric Light Orchestra,1981
82,It's Now or Never,John Schneider,1981
83,Treat Me Right,Pat Benatar,1981
84,Winning,Santana,1981
85,What Kind of Fool,Barbra Streisand & Barry Gibb,1981
86,Watching the Wheels,John Lennon,1981
87,Tell It Like It Is,Heart,1981
88,Smoky Mountain Rain,Ronnie Milsap,1981
89,I Made It Through the Rain,Barry Manilow,1981
90,You've Lost That Lovin' Feelin',Hall & Oates,1981
91,Suddenly,Olivia Newton-John & Cliff Richard,1981
92,For Your Eyes Only,Sheena Easton,1981
93,The Beach Boys Medley,The Beach Boys,1981
94,Whip It,Devo,1981
95,Modern Girl,Sheena Easton,1981
96,Really Wanna Know You,Gary Wright,1981
97,Seven Year Ache,Rosanne Cash,1981
98,I'm Coming Out,Diana Ross,1981
99,Miss Sun,Boz Scaggs,1981
100,Time Is Time,Andy Gibb,1981
1,Physical,Olivia Newton-John,1982
2,Eye of the Tiger,Survivor,1982
3,I Love Rock 'n Roll,Joan Jett & The Blackhearts,1982
4,Ebony and Ivory,Paul McCartney and Stevie Wonder,1982
5,Centerfold,The J. Geils Band,1982
6,Don't You Want Me,The Human League,1982
7,Jack & Diane,John Cougar,1982
8,Hurts So Good,John Cougar,1982
9,Abracadabra,Steve Miller Band,1982
10,Hard to Say I'm Sorry,Chicago,1982
11,Tainted Love,Soft Cell,1982
12,Chariots of Fire,Vangelis,1982
